# Twarga Cloud MVP - Security Events Log
# This file will store security events and system logs

[2025-10-23 17:56:00] INFO - System initialized - SOC dashboard ready
[2025-10-23 17:56:00] INFO - Waiting for security events...2025-10-25 14:57:51,802 - watchfiles.main - INFO - 1 change detected
2025-10-25 14:58:00,573 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:00,923 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:01,274 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:01,625 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:01,976 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:02,327 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:02,678 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:03,029 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:03,379 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:03,730 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:04,081 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:04,432 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:04,783 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:05,134 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:05,484 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:05,835 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:06,186 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:06,537 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:06,888 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:07,239 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:07,589 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:07,940 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:08,291 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:08,642 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:08,993 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:09,344 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:09,694 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:10,045 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:10,396 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:10,747 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:11,098 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:11,449 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:11,800 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:12,150 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:12,501 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:12,852 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:13,203 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:13,554 - watchfiles.main - INFO - 2 changes detected
2025-10-25 14:58:16,510 - backend.main - INFO - Twarga Cloud MVP starting up...
2025-10-25 14:58:16,510 - backend.main - INFO - Startup time: 2025-10-25T14:58:16.510250
2025-10-25 14:58:16,510 - backend.database - INFO - Initializing database...
2025-10-25 14:58:16,510 - backend.migrations - INFO - Starting database migration...
2025-10-25 14:58:16,512 - backend.migrations - INFO - Database migration completed successfully
2025-10-25 14:58:16,512 - backend.database - INFO - Database migrations completed
2025-10-25 14:58:16,525 - backend.database - INFO - Admin user already exists
2025-10-25 14:58:16,525 - backend.database - INFO - Database initialization completed successfully
2025-10-25 14:58:16,526 - backend.main - INFO - Database initialized successfully
2025-10-25 14:58:16,526 - backend.database - INFO - Database connection successful
2025-10-25 14:58:16,526 - backend.main - INFO - Database connection verified
2025-10-25 14:58:31,251 - passlib.handlers.bcrypt - WARNING - (trapped) error reading bcrypt version
Traceback (most recent call last):
  File "/home/engine/project/venv/lib/python3.12/site-packages/passlib/handlers/bcrypt.py", line 620, in _load_backend_mixin
    version = _bcrypt.__about__.__version__
              ^^^^^^^^^^^^^^^^^
AttributeError: module 'bcrypt' has no attribute '__about__'
2025-10-25 14:58:31,530 - backend.main - INFO - User logged in: testuser
2025-10-25 14:58:38,883 - backend.main - INFO - User logged in: testuser
2025-10-25 14:58:46,513 - backend.main - INFO - New user registered: newuser (newuser@example.com)
2025-10-25 14:58:54,047 - backend.main - INFO - User logged in: newuser
2025-10-25 14:59:01,861 - backend.main - INFO - User logged in: admin
2025-10-25 14:59:36,254 - backend.main - INFO - Twarga Cloud MVP shutting down...
2025-10-25 14:59:36,254 - backend.main - INFO - Shutdown time: 2025-10-25T14:59:36.254260
